jahr,hauptgruppe,untergruppe,nfr,thg,thg_agg,emission,quelle,einheit,einheit_lang
1996,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfallverbrennung,5C,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,Abfallverbrennung,5C,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Landwirtschaft,Fermentation bei der Verdauung,3A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,261961.87062074526,Region,t/a,Tonnen pro Jahr
1991,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,261081.39886795377,Region,t/a,Tonnen pro Jahr
1992,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,258871.16338116507,Region,t/a,Tonnen pro Jahr
1993,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,257358.16350521793,Region,t/a,Tonnen pro Jahr
1994,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,254218.91787173896,Region,t/a,Tonnen pro Jahr
1995,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,253414.49072294027,Region,t/a,Tonnen pro Jahr
1996,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,249107.45400840224,Region,t/a,Tonnen pro Jahr
1997,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,243458.91406435828,Region,t/a,Tonnen pro Jahr
1998,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,238653.9472669673,Region,t/a,Tonnen pro Jahr
1999,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,223696.13815149362,Region,t/a,Tonnen pro Jahr
2000,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,223951.55482156525,Region,t/a,Tonnen pro Jahr
2001,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,223747.9077874464,Region,t/a,Tonnen pro Jahr
2002,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,219468.2141059113,Region,t/a,Tonnen pro Jahr
2003,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,217193.64485667544,Region,t/a,Tonnen pro Jahr
2004,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,214711.80953331466,Region,t/a,Tonnen pro Jahr
2005,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,216962.5954472546,Region,t/a,Tonnen pro Jahr
2006,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,218347.95227475415,Region,t/a,Tonnen pro Jahr
2007,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,218273.39925756407,Region,t/a,Tonnen pro Jahr
2008,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,226065.43191479807,Region,t/a,Tonnen pro Jahr
2009,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,222743.9965069372,Region,t/a,Tonnen pro Jahr
2010,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,222924.22984675207,Region,t/a,Tonnen pro Jahr
2011,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,223139.78012395604,Region,t/a,Tonnen pro Jahr
2012,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,224419.4866707753,Region,t/a,Tonnen pro Jahr
2013,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,221050.45441872298,Region,t/a,Tonnen pro Jahr
2014,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,225647.84665315368,Region,t/a,Tonnen pro Jahr
2015,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,223063.3357887753,Region,t/a,Tonnen pro Jahr
2016,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,223068.52097644316,Region,t/a,Tonnen pro Jahr
2017,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,219991.32686837116,Region,t/a,Tonnen pro Jahr
2018,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,218600.21754027624,Region,t/a,Tonnen pro Jahr
2019,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,214360.61188749844,Region,t/a,Tonnen pro Jahr
2020,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,212770.7793971539,Region,t/a,Tonnen pro Jahr
2021,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,211695.94652486566,Region,t/a,Tonnen pro Jahr
2022,Landwirtschaft,Fermentation bei der Verdauung,3A,CH4,CO2eq,211507.57073764555,Region,t/a,Tonnen pro Jahr
1990,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Landwirtschaft,Fermentation bei der Verdauung,3A,N2O,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Landwirtschaft,Fermentation bei der Verdauung,3A,HFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2007,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2008,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2009,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2010,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2011,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2012,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2013,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2014,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2015,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2016,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2017,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2018,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2019,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2020,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2021,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
2022,Landwirtschaft,Fermentation bei der Verdauung,3A,PFC,CO2eq,0,Region,t/a,Tonnen pro Jahr
1990,Landwirtschaft,Fermentation bei der Verdauung,3A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Landwirtschaft,Fermentation bei der Verdauung,3A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Landwirtschaft,Fermentation bei der Verdauung,3A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Landwirtschaft,Fermentation bei der Verdauung,3A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Landwirtschaft,Fermentation bei der Verdauung,3A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Landwirtschaft,Fermentation bei der Verdauung,3A,SF6,CO2eq,0,Region,t/a,Tonnen pro Jahr
